,Name,Author's affiliation,venue name,Item Type,Publication Year,Subject category,Data type,task,Abstract Note,Author,Assignee,Relevant,DOI,Compared approaches,Dataset,Error type,Limitations and shortcomings,Model,"Performance (ML-wise e.g. accuracy, etc.)","Performance (engineering-wise e.g. time, memory, etc.)",Quality measurements,In SLR,Key,Personal comments,Q1,Q1.1,Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q1.7,Q2,Q2.1,Q2.2,Replication package link,from
72,Batchwise probabilistic incremental data cleaning,Academia,arxiv,journalArticle,2020,"DC4ML, DC4ML - intro only, ML4DC",tabular,error detection/repair,"Lack of data and data quality issues are among the main bottlenecks that prevent further artificial intelligence adoption within many organizations, pushing data scientists to spend most of their time cleaning data before being able to answer analytical questions. Hence, there is a need for more effective and efficient data cleaning solutions, which, not surprisingly, is rife with theoretical and engineering problems. This report addresses the problem of performing holistic data cleaning incrementally, given a fixed rule set and an evolving categorical relational dataset acquired in sequential batches. To the best of our knowledge, our contributions compose the first incremental framework that cleans data (i) independently of user interventions, (ii) without requiring knowledge about the incoming dataset, such as the number of classes per attribute, and (iii) holistically, enabling multiple error types to be repaired simultaneously, and thus avoiding conflicting repairs. Extensive experiments show that our approach outperforms the competitors with respect to repair quality, execution time, and memory consumption. Copyright  2020, The Authors. All rights reserved.","Oliveira, Paulo H.; Traina-Jr, Caetano; Kaster, Daniel S.; Ilyas, Ihab F.",PO,YES,,(1) HC-Sep and (2) HC-Acc; open page for more details,(1) Hospital (2) Food (3) Soccer (corrupted with BART),See Holoclean: Holistic data repairs with probabilistic inference (https://www.notion.so/Holoclean-Holistic-data-repairs-with-probabilistic-inference-42f4c4def823491cb45e6c202ea38b43?pvs=21) ,-,See Holoclean: Holistic data repairs with probabilistic inference (https://www.notion.so/Holoclean-Holistic-data-repairs-with-probabilistic-inference-42f4c4def823491cb45e6c202ea38b43?pvs=21) ,iHC-Re performs almost the same (sometimes even better) than the approach that cleans the whole dataset at once (HC-Acc),Comparable to the approach that considers each batch separately (HC-Sep) in terms of memory and time.,(1) Number of remaining errors (as new batch of data come) (2) Total time (as new batches of data come) (3) Memory consumption (is it in total?),,,-,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,2.0,0.0,-,
73,Does data cleaning improve heart disease prediction?,Academia,Procedia Comput. Sci.,journalArticle,2020,"DC4ML, ML4DC",tabular,entity matching / duplicate removal,"Data quality has become an important issue. This issue becomes more and more important in medicine area, where the need for effective decision making is high. In this context, the need for data cleaning to improve data quality is becoming crucial. Duplicate records elimination is a challenging data cleansing task. In this paper, we present a duplicate records elimination approach to improve the quality of data. We propose a deep learning-based approach for duplicate records detection using a sentence embeddings model. Also, we propose an algorithm for duplicated records correction. Then, we apply the proposed duplicate records elimination approach to analyse the effect of data cleaning on the quality of decisions. We evaluate our proposal on heart disease problem using Cleveland heart disease dataset. Experiments show that the classification performance improves upon the application of the duplicate records elimination approach on datasets compared to that of datasets with duplicate records.  2020 The Authors. Published by Elsevier B.V.","Lattar, Hafsa; Salem, Aicha Ben; Ghezala, Henda Hajjami Ben",PO,YES,10.1016/j.procs.2020.09.109,-,Cleveland heart disease dataset (with noise artificially inserted),duplicates,-,SVM,-,-,(1) F1-score (2) precision (3) recall (4) accuracy,,,-,9,2.0,2.0,0.0,1.0,0.0,2.0,2.0,4,2.0,2.0,-,
74,CORDEL: A contrastive deep learning approach for entity linkage,Both,IEEE International Conference on Data Mining (ICDM),journalArticle,2020,ML4DC,tabular,entity matching / duplicate removal,"Entity linkage (EL) is a critical problem in data cleaning and integration. In the past several decades, EL has typically been done by rule-based systems or traditional machine learning models with hand-curated features, both of which heavily depend on manual human inputs. With the ever-increasing growth of new data, deep learning (DL) based approaches have been proposed to alleviate the high cost of EL associated with the traditional models. Existing exploration of DL models for EL strictly follows the well-known twin-network architecture. However, we argue that the twin-network architecture is sub-optimal to EL, leading to inherent drawbacks of existing models. In order to address the drawbacks, we propose a novel and generic contrastive DL framework for EL. The proposed framework is able to capture both syntactic and semantic matching signals and pays attention to subtle but critical differences. Based on the framework, we develop a contrastive DL approach for EL, called CORDEL, with three powerful variants. We evaluate CORDEL with extensive experiments conducted on both public benchmark datasets and a real-world dataset. CORDEL outperforms previous state-of-the-art models by 5.2% on public benchmark datasets. Moreover, CORDEL yields a 2.4% improvement over the current best DL model on the real-world dataset, while reducing the number of training parameters by 97.6%. Copyright  2020, The Authors. All rights reserved.","Wang, Zhengyang; Sisman, Bunyamin; Wei, Hao; Dong, Xin Luna; Ji, Shuiwang",PO,YES,,(1) non-DL baseline is Magellan (2) DL baseline is Deep Matcher (with 4 versions),"(1) Tabular: BeerAdvo-RateBeer, iTunes-Amazon1, Fodors-Zagats, DBLP-ACM, DBLP-Scholar, Amazon-Google, Walmart-Amazon (2) Textual: Abt-Buy (3) Dirty tabular: iTunes-Amazon, DBLP-ACM, DBLP-Scholar, Walmart-Amazon (4) Real-world (tabular): Amazon-Wikipedia",duplicates,-,"MLP, Attention, pre-trained embeddings","Generally significantly better, open up for more details",requires less parameters than DL baseline,"(1) Area Under the Precision-Recall Curve (PRAUC),  (2) Recall when
Precision=95% (R@P=95%),  (3) F1 score",,,pretty good paper,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4,2.0,2.0,-,
75,ImageDC: Image Data Cleaning Framework Based on Deep Learning,,,conferencePaper,2020,"DC4ML, ML4DC",img,error detection/repair,"Although user-generated image data increases more and more quickly on the current Internet, many image methods have attracted widespread attention from industry and academia. Recently, some image classification approaches using deep learning have demonstrated that they can potentially enhance the accuracy of the classification based on the high quality datasets. However, the existing methods only consider the accuracy of the classification and ignore the quality of the datasets. To address these issues, we propose a new image data cleaning framework using deep neural networks, named ImageDC, to improve the quality of the datasets. ImageDC not only uses cleaning with the minority class to remove the images of the rarely classes, but also adopts cleaning with the low recognition rate to remove the noisy data to enhance the recognition rate of the datasets. Experimental results conducted on a variety of datasets demonstrate that our model significantly outperforms the whole approaches.  2020 IEEE.","Zhang, Yun; Jin, Zongze; Liu, Fan; Zhu, Weilin; Mu, Weimin; Wang, Weiping",PO,score too low,10.1109/ICAIIS49377.2020.9194803,,They seem to have scrapped images from Twitter,,Same limitations as Data Cleaning of Irrelevant Images Based on Transfer Learning (https://www.notion.so/Data-Cleaning-of-Irrelevant-Images-Based-on-Transfer-Learning-c73a8bedacc24fa79f9551bea63c545f?pvs=21) ,AlexNet and GoogLeNet,,33% increase in time if all data cleaning approaches are applied,2% accuracy improvement,,,,5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,,,,
76,A novel data repairing approach based on constraints and ensemble learning,Academia,Expert Syst. Appl.,journalArticle,2020,ML4DC,tabular,error detection/repair,"Data repairing is an important task in data mining. This paper proposes a novel data repairing approach based on a combination of constraints and ensemble learning. At first, functional dependencies (FDs) are used as constraints to identify inconsistent records. For each FD, all repeated values in the correct records are discovered. After that, noisy attributes in erroneous records are detected using correct records and the repeated values. To correct the detected noises, a supervised ensemble learning model is constructed for each attribute. The ensemble model consists of a Bayes classifier, a decision tree, and a MultiLayer Perceptron (MLP). A majority of votes is used as the combination strategy in the ensemble learning model. The proposed approach automatically repairs data without any user interaction. Moreover, the proposed method can detect more than one noise in a record. Experimental results show that our approach outperforms similar repairing algorithms (HoloClean and KATARA) in both terms of precision and recall.  2020 Elsevier Ltd","Ataeyan, Mahdieh; Daneshpour, Negin",PO,YES,10.1016/j.eswa.2020.113511,(1) Holoclean (2) Katara,(1) Adult (2) Protein (3) Car (4) Wine,-,-,"(1) decision tree, (2) a Bayes classifier, (3) and an MLP.",Comparable to other approaches,-,(1) precision (2) recall (3) and other variations of TP and TN,,,"poor English, while the approach is really simple, they managed to make it convuluted",8,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2,0.0,2.0,-,
77,Research on multi-source heterogeneous data cleaning technology based on integrating neural network with fuzzy rules for renewable energy accommodation,,,conferencePaper,2020,,,error detection/repair,"In order to avoid conservative results, when calculating the ability of power system to accommodate renewable energy, social data need to be integrated. Data cleaning is an important step in integration. Traditional data cleaning methods rely only on data and ignore the implicit rules. This paper first analyzes the data requirements for renewable energy accommodation, and then proposes a data cleaning technology. This technology digs out the implicit associations between data, converts them into fuzzy rules in the form of Probabilistic soft logic (PSL), and builds a neural network based on this for data cleaning.  2020 IEEE.","Sun, Rongfu; Wu, Yuhui; Lan, Haibo; Wang, Yulin; Ding, Ran; Xu, Jian; Liao, Siyang; Hu, Jia; Sun, Yamin",PO,exclusion criteria last step,10.1109/EI250167.2020.9346757,,,,,,,,,,,,0,,,,,,,,0,0.0,0.0,,
78,Advancing Data Curation with Metadata and Statistical Relational Learning / Verbesserung der Datenvorbereitung Mit Metadaten und Statistisch-Relationalem Lernen,Academia,proquest,thesis,2020,ML4DC,tabular,error detection,"The foundation of every data science project depends on clean data because the quality
of the data determines the quality of the insights derived from data by using machine
learning or analytics. In this dissertation, we tackle the problem of data cleaning and
provide three approaches to advance data error detection and repair: (1) We establish a
mapping that reflects the connection between data quality issues and extractable dataset’s
metadata, and propose this mapping as a guideline for rapid prototyping of an error
detection strategy; (2) We introduce two holistic approaches for effectively combining
different error detection strategies to increase the efficacy of error detection. Our methods
are based on state-of-the-art ensemble learning algorithms and incorporate the metadata
of the dataset; and (3) We propose an approach for addressing data quality issues by
formulating a set of data cleaning rules without the manual specification of the rules
execution order. The concepts of statistical relational learning and probabilistic inference
provide the foundation for our method. We use the Markov logic formalism, because it
declaratively models data quality rules as first-order logic sentences. Markov logic allows
the usage of probabilistic joint inference over data cleaning rules to detect data errors and
suggest a repair.","Visengeriyeva, Larysa",PO,YES,,,,,,,,,,,,,0,,,,,,,,0,,,,
79,Nearest neighbor classifiers over incomplete information: From certain answers to certain predictions,Both,arxiv,journalArticle,2020,"DC4ML, ML4DC",any,error detection/repair,"Machine learning (ML) applications have been thriving recently, largely attributed to the increasing availability of data. However, inconsistency and incomplete information are ubiquitous in real-world datasets, and their impact on ML applications remains elusive. In this paper, we present a formal study of this impact by extending the notion of Certain Answers for Codd tables, which has been explored by the database research community for decades, into the field of machine learning. Specifically, we focus on classification problems and propose the notion of ""Certain Predictions"" (CP) - a test data example can be certainly predicted (CP'ed) if all possible classifiers trained on top of all possible worlds induced by the incompleteness of data would yield the same prediction. We study two fundamental CP queries: (Q1) checking query that determines whether a data example can be CP'ed; and (Q2) counting query that computes the number of classifiers that support a particular prediction (i.e., label). Given that general solutions to CP queries are, not surprisingly, hard without assumption over the type of classifier, we further present a case study in the context of nearest neighbor (NN) classifiers, where efficient solutions to CP queries can be developed - we show that it is possible to answer both queries in linear or polynomial time over exponentially many possible worlds. We demonstrate one example use case of CP in the important application of ""data cleaning for machine learning (DC for ML)."" We show that our proposed CPClean approach built based on CP can often significantly outperform existing techniques in terms of classification accuracy with mild manual cleaning effort. Copyright  2020, The Authors. All rights reserved.","Karla, Bojan; Li, Peng; Wu, Renzhi; Gurel, Nezihe Merve; Chu, Xu; Wu, Wentao; Zhang, Ce",PO,YES,,"(1) ML model trained on the ground truth (cleaned dataset, serves as an upper bound), (2) Default cleaning (i.e. simple imputation techniques) (3) HoloClean (4) BoostClean (5) random manual cleaning","https://sites.google.com/site/anhaidgroup/projects/data (real errors, they manually created a cleaned version of it by imputing values by searching for the true values), Supreme, Bank, Puma (created a dirty version by removing values). Find the reference of the data sets in the paper.",Missing value,(1) limited to knn classifier and (2) finding the possible worlds is expensive,The model used to guide the cleaning process is knn,Managed to completely close the gap in most experiments.,"(1) To achieve 100% gap closed, not all the samples had to be cleaned. However, they managed between 40% to 100% gap closed with a limited budget of 20% of the instances manually cleaned. (2) Open this page on Notion for a formula of the time complexity of the algorithm to find next samples to clean","“Gap closed”: % of total improvement done, compared with the lower performance bound (i.e. compared approach #2) and the upper performance bound (i.e. compared approach #1)",,,,12,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3,2.0,1.0,,
80,Similarity-learning information-fusion schemes for missing data imputation,Academia,Knowledge-Based Systems,journalArticle,2020,ML4DC,tabular,imputation,"Missing data imputation is a very important data cleaning task for machine learning and data mining with incomplete data. This paper proposes two novel methods for missing data imputation, named kEMI and kEMI+, that are based on the k-Nearest Neighbours algorithm for pre-imputation and the Expectation-Maximization algorithm for posterior-imputation. The former is a local search mechanism that aims to automatically find the best value for k and the latter makes use of the best k nearest neighbours to estimate missing scores by learning global similarities. kEMI+ makes use of a novel information fusion mechanism. It fuses top estimations through the Dempster-Shafer fusion module to obtain the final estimation. They handle both numerical and categorical features. The performance of the proposed imputation techniques are evaluated by applying them on twenty one publicly available datasets with different missingness and ratios, and, then, compared with other state-of-the-art missing data imputation techniques in terms of standard evaluation measures such as the normalized root mean square difference and the absolute error. The attained results indicate the effectiveness of the proposed novel missing data imputation techniques. [All rights reserved Elsevier].","Razavi-Far, R.; Boyuan Cheng; Saif, M.; Ahmadi, M.",,YES,10.1016/j.knosys.2019.06.013,"EMI 
DMI 
kDMI 
kNNI 
LCSR 
LRMC 
CLRMC
CLRMC-EN","21 publicly available dataset: 
BCW, BUPA, Dermatology, Glass, Ionosphere, Iris, Letter, PID, Sheart, Sonar, Spam, Wine, Yeast, Zoo, Car, House Votes, Promoters, SPECT, Splice, TTTEG",missing data (categorical and numerical imputation),although both KEMI and KEMI+ are more accurate compared to other methods their complexity is higher. Also KEMI+ is less scalable than KEMI,"two models:
KEMI based on KNNI and Expectation–Maximization based Imputation (EMI) algorithms
KEMI+ similar to KEMI but integrates an information fusion module (Dempster–Shafer Fusion (DSF))","According to Friedman rank test which compares NRMS: KEMI+ and KEMI have the first and second ranks and significantly outperforms the other methods; however, the difference in performance between KEMI and KEMI+ is not significant.","*complexity of KEMI and KEMI+ is similar :
O(m2k + m2d + mk2d′ + mk3 + kd2 + d3)
assuming d (attributes) << m (records) → O(m2k + mk3) 
assuming d << m AND k (best k values) << m → O(m2)
* has higher complexity compared to other methods especially KMI and KDMI (O(m)) and LRMC (O(tm)
*KEMI is more scalable than KEMI+ in terms of run time with increased dataset size (≥25k) or dimensions (≥200)","normalized root mean square difference (NRMS) 
absolute error (AE)
Friedman rank test",,,,12,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2,0.0,2.0,,
81,An Adaptive Parameters Density Cluster Algorithm for Data Cleaning in Big Data,,,conferencePaper,2020,,,,"We have entered the era of information explosion, data has become an important driving force for the development of the industry. The huge wealth hidden in the data, enterprises can obtain a lot of useful information from business management, market analysis, scientific exploration and other aspects to support the development decisions of enterprises. However, the actual data is often intricate with different structures and types such as erroneous data, invalid data and missing duplicate data, greatly increase the difficulty of data analysis. These dirty data can greatly affect the results of data analysis, resulting in inaccurate results or even bad information. Most of the early data cleaning requires human involvement, however the exploding large-scale data is far from being able to meet with the human intervention, requiring smarter and more automated cleaning methods. The rapid development of artificial intelligence in recent years, the emergence of machine learning, provides a new opportunity for the development of data cleaning. Nowadays, there are lots of methods that have been applied to the field of data mining, including popular machine learning, deep learning, as well as classical clustering, bayesian networks, decision trees, and so on. Both provide a large number of solutions for our data cleaning. In this paper, we present a data cleaning method which use adaptive parameters density cluster algorithms based on the DBSCAN.  2020, Springer Nature Switzerland AG.","Zhang, Xiaopeng; Lin, Ruijie; Xu, Haitao",PO,Not accessible,10.1007/978-3-030-57884-8_48,,,,,,,,,,,,0,,,,,,,,0,,,,
82,Relational pretrained transformers towards democratizing data preparation [Vision] [arXiv],Academia,arxiv,journalArticle,2020,"DC4ML, DC4ML - intro only, ML4DC",tabular,error repair,"Can AI help automate human-easy but computer-hard data preparation tasks (for example, data cleaning, data integration, and information extraction), which currently heavily involve data scientists, practitioners, and crowd workers? We envision that human-easy data preparation for relational data can be automated. To this end, we first identify the desiderata for computers to achieve near-human intelligence for data preparation: computers need a deep-learning architecture (or model) that can read and understand millions of tables; computers require unsupervised learning to perform self-learning without labeled data, and can gain knowledge from existing tasks and previous experience; and computers desire few-shot learn-ing that can adjust to new tasks with a few examples. Our proposal is called Relational Pretrained Transformers (RPTs), a general framework for various data preparation tasks, which typically consists of the following models/methods: (1) transformer, a general and powerful deep-learning model, that can read tables/texts/images;(2) masked language model for self-learning and collaborative train-ing for transferring knowledge and experience; and (3) pattern-exploiting training that better interprets a task from a few examples.We further present concrete RPT architectures for three classical data preparation tasks, namely data cleaning, entity resolution, and information extraction. We demonstrate RPTs with some initial yet promising results. Last but not least, we identify activities that will unleash a series of research opportunities to push forward the field of data preparation.","Nan Tang; Ju Fan; Fangyi Li; Jianhong Tu; Xiaoyong Du; Guoliang Li; Madden, S.; Ouzzani, M.",PO,YES,,,"Abt-Buy, Walmart-Amazon, Amazon-Google",,"(1) They trained and tested on different data sets. Normally, it is not a good practice to test on a different dataset, but here, in NLP, it is common. If they are able to accurately transform tables in natural language, it would be fine. (2) Numeric values are mapped to unknown token. (3) Transformers have a max sequence length in their input, which limits the input size of a table entry.",They call their model RPT. It is composed of a encoder and a decoder (similar to BERT(encoder) + GPT(decoder)). RPT uses BART weights (pre-training).,,not mentioned,"none for data cleaning (they just said “the cleaning propositions make sense”) and for entity linkage, they achive the best results compared to SOTA (.71 F1 score)",,,,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2.0,2.0,,
83,Unknown Class Label Cleaning for Learning with Open-Set Noisy Labels,Academia,IEEE International Conference on Image Processing (ICIP),conferencePaper,2020,"DC4ML, ML4DC",img,mislabel correction,"Deep neural networks (DNNs) trained on large-scale annotated datasets have achieved impressive results in the area of image classification. Many large-scale datasets have been collected from websites; however, such data are inevitably corrupted with noise. In this study, we researched the open-set noisy label problem, where some outliers are contained in a dataset and annotated through a noisy label but do not belong to any class of training data. To address this problem, we propose a novel unknown class label cleaning framework for the training of DNNs with open-set noisy labels. In addition to general image classification, we also estimate the probability of an input being from an unknown class by assigning a pseudo unknown label to all of the data and correct these labels through an alternating update of the network parameters and labels. The results of experiments conducted on the noisy CIFAR-10 datasets demonstrate that our approach can robustly train DNNs with a high proportion of noisy labels.  2020 IEEE.","Yu, Qing; Aizawa, Kiyoharu",,YES,10.1109/ICIP40778.2020.9190652,"(1) symmetric cross entropy (SCE)
(2) generalized cross entropy (GCE) 
(3) co-teaching+",CIFAR-10,mislabel (outliers),,ResNet-32,highest accuracy (76.45 to 83.15) among compared models and lowest error detection almost in all cases of noise (0.20 to 20.39) except for the added noise (CIFAR-100) where co-teaching+ achieved lower error detection (13.95 vs. 15.78 for that particular noise),-,Mean classification accuracy and detection error,,,Good simple idea but poor evaluation,11,2.0,2.0,2.0,2.0,0.0,1.0,2.0,4,2.0,2.0,,
84,Data Cleaning of Irrelevant Images Based on Transfer Learning,Academia,International Conference on Intelligent Computing Automation and Systems (ICICAS),conferencePaper,2020,"DC4ML, ML4DC",img,mislabel correction,"Considering that there are many irrelevant images in the image data set crawled from the Internet, this paper proposes a new method of cleaning irrelevant images data based on transfer learning. The method consists of two steps that can be done iteratively. Firstly, we use transfer learning to train and get a better image classifier, which makes the single image's recognition effect more accurate. Besides, according to the number of different types of images in the data set, we calculate and determine the threshold value of the image of the minority class and then clean them accordingly. We find that our method can improve the test accuracy of the original data set on VGG16, VGG19, and Inception v3 from 37.41%, 40.62%, and 49.37% to 50.07%, 53.89%, and 65.16%, respectively. Since transfer learning has a good application effect on irrelevant images cleaning, we can use it to create data sets in deep learning.  2020 IEEE.","Liu, Dongzhen; Meng, Yanli; Wang, Lianming",PO,YES,10.1109/ICICAS51530.2020.00099,-,"Custom data set based on ""Atlas of Primary Colors of Marine Fishes in the South China Sea 1"" and ""Atlas of Primary Colors of Marine Fishes in the
South China Sea 2” ",,"(1) They removed minority classes. Obviously they will have a better accuracy, since they removed the most challenging classes. (2) They remove classes. Maybe we do not want to remove these. (3) The performance of their approach to remove samples of poor quality depends heavily on the quality of the CNN to recognize images.","VGG19, InceptionV3, VGG16",around 15% accuracy increase for the 3 models,not mentioned,Accuracy improved between 12-15% depending on the model used,,,,7,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4,2.0,2.0,,
85,Ed2: A case for active learning in error detection,Academia,ACM CIKM,conferencePaper,2019,ML4DC,tabular,error detection,"State-of-the-art approaches formulate error detection as a semi-supervised classification problem. Recent research suggests that active learning is insufficiently effective for error detection and proposes the usage of neural networks and data augmentation to reduce the number of these user-provided labels. However, we can show that using the appropriate active learning strategy, it is possible to outperform the more complex models that rely on data augmentation. To this end, we propose a multi-classifier approach with two-stage sampling for active learning. This intuitive and neat sampling method chooses the most promising cells across rows and columns for labeling. On three datasets, ED2 achieves state-of-the-art detection accuracy while for large datasets, the required number of user labels is lower by one order of magnitude compared to the state of the art.  2019 Association for Computing Machinery.","Neutatz, Felix; Mahdavi, Mohammad; Abedjan, Ziawasch",PO,YES,,(1) NADEEF (2) dBoost (3) KATARA (4) ActiveClean (5) BoostClean (6) Metadata-driven error detection,(1) Flights (2) Movies (3) Beers (4) Address,any,-,XGBoost,"Not the fastest to learn, but on the long run, it outperforms compared approaches","12 minutes on the largest dataset, 1% of instance must be labeled to have good performances",Precision recall and f1-score of detected errors,YES,,,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,0.0,2.0,https://github.com/BigDaMa/ExampleDrivenErrorDetection,Ed2: A case for active learning in error detection (https://www.notion.so/Ed2-A-case-for-active-learning-in-error-detection-38a5012844dd49639218a8fc200ed901?pvs=21) 
86,Neural pixel error detection,,,conferencePaper,2019,ML4DC,img,error detection/repair,"… In sum, we show that simple neural network methods such as autoencoders can perform admirably for real-world production QC tasks, improving scalability for a studio QC workflow. …","Doggett, EV; Wolak, AMC; Tsatsoulis, PD; ...",PO,score too low - 2,10.1145/3306307.3328197,,,,,,,,,,ZBRN8LKH,,0,,,,,,,,0,0.0,0.0,,
87,Automatic grammatical error detection of non-native spoken learner English,Academia,ICASSP,conferencePaper,2019,ML4DC,text,error detection/repair,… The grammatical error detection (GED) system chosen for this work is a state-of-the-art bidirectional recurrrent neural network based framework2 proposed for detecting all kinds of …,"Knill, KM; Gales, MJF; Manakul, PP; ...",,YES,https://doi.org/10.1109/ICASSP.2019.8683080,"(1) error detection for written text (FCE) vs. spoken (NICT-JLE & BULTAS)
(2) error detection using manual transcriptions vs. Automatic transcription (ASR) ","(1) CLC FCE: The Cambridge Learner Corpus (CLC) of ESOL First Certificate in English (written text used to train the baseline model and then fine tuned for the other 2 spoken corpus)
(2) BULATS: The spoken BULATS Business English assessment
test
(3) NICT-JLE: The NICT Japanese Learner English (JLE) Corpus


",Grammatical ,Unavailability of large corpus for speech training data ,"BLSTM 
","(1) The performance of baseline GED for spoken is less than baseline GED for written text which achieves (P=69.9, R=33.9,F0.5=57.6). However, when GED is fine-tuned using the spoken dataset, the performance improved (for BULTAS: P=66.7, R=33.8,F0.5=55.8; for NICT-JLE: P=60.6, R=28.9, F0.5=49.7) and be close to the level of GED for written text.

(2) Baseline GED for manual transcription has higher performance (P=52.4, R=27.0, F0.5=44.1) compared to baseline GED for ASR transcription (P=28.1, R=22.0, F0.5=26.6)",-,"Precision
Recall
F0.5 (assign higher weight to precision)",,P27VEW2B,"Unlike others techniques applied to written text, the detection of grammatical errors in this paper is applied to speech (transcript provided either by ASR or manually).
They use the existing state-of-the-art GED model.
Using ASR transcriptions is more challenging to the GED model because ASR-related errors increase with grammatical errors and disfluencies leading to degrade GED performance.",13,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2,0.0,2.0,,
88,Context is key: Grammatical error detection with contextual word representations,Academia,,journalArticle,2019,ML4DC,text,error detection/repair,… error detection (GED) in nonnative writing requires systems to identify a wide range of errors in text written by language learners. Error detection as a purely supervised … of unsupervised …,"Bell, S; Yannakoudakis, H; Rei, M",,exclusion criteria last step,http://dx.doi.org/10.18653/v1/W19-4410,"*base-model: bi-LSTM sequence labeler over token embeddings (Rei (2017)) , 
*another two models (Rei et al. (2017) and Kasewa
et al. (2018)) improving base model by additionally augmenting base
model with artificial training data.
*extended base-model with BERT contextual embeddings
*extended base-model with ELMo contextual embeddings
*extended base-model with Flair contextual embeddings","for training: First Certificate in English (FCE) training dataset
for testing: FCE test set, the CoNLL-2014 test set, the Johns Hopkins University (JHU) FLuency-Extended GUG Corpus (JFLEG) test
set, and the Building Educational Applications (BEA) 2019 shared task development and test sets.",Grammatical,"while contextual embeddings always improve aggregate performance on GED, no model performs well on all types, thus, selecting appropriate model depends on the error type specific properties","*extended base-model (bi-LSTM sequence labeler) with BERT contextual embeddings
*extended base-model with ELMo contextual embeddings
*extended base-model with Flair contextual embeddings","The use of contextual embeddings improved the results for most of the datasets compared to base and improved models. 
BERT base and BERT large have the highest recall, precision and F0.5 compared to ELMo and Flair.",,"Precision
Recall
F0.5",,U5JMU222,"well written paper 
provide comprehensive evaluation ",13,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2,0.0,2.0,,
89,Prediction Based Deep Autoencoding Model for Anomaly Detection,,,conferencePaper,2019,ML4DC,any,outliers detection,"Latent variables and reconstruction error generated from auto encoder are the common means for anomaly detection dealing with high dimensional signals. They are exclusively typical representations of the original input, and a plenty of methods utilizing them for anomaly detection have achieved good results. In this paper, we propose a new method combining these two features together to generate proper scores for anomaly detection. As both these two features contain useful information contributing to anomaly detection, good results can be expected by fusion of those two. The architecture proposed in this paper comprises of two networks, and we only use normal data for training. To compress and rebuild an input, a deep auto encoder (AE) is utilized where low dimensional latent variables and reconstruction error can be obtained, and compactness loss is introduced on latent variables to maintain a low intra-variance. Meanwhile, multi-layer perceptron (MLP) network which takes the generated latent variables as input is established aiming at predicting its corresponding reconstruction error. By introducing MLP network, anomalies sharing similar reconstruction error yet different distribution of latent variables to normal data or vice versa can be separated. These two networks, AE and MLP are trained jointly in our model and the prediction error form MLP network is used as the final score for anomaly detection. Experiments on several benchmarks including image and multivariable datasets demonstrate the effectiveness and practicability of this new approach when comparing with several up-to-data algorithms.  2019, Springer Nature Switzerland AG.","Pang, Zhanzhong; Yu, Xiaoyi; Sun, Jun; Hiroya, Inakoshi",PO,Not accessible,10.1007/978-3-030-21074-8_33,,,,,,,,,,S2CFEKSB,,0,,,,,,,,0,,,,
90,HoloDetect: Few-Shot Learning for Error Detection [arXiv],Academia,ACM SIGMOD,journalArticle,2019,ML4DC,tabular,error detection,"We introduce a few-shot learning framework for error detection. We show that data augmentation (a form of weak supervision) is key to training high-quality, ML-based error detection models that require minimal human involvement. Our framework consists of two parts: (1) an expressive model to learn rich representations that capture the inherent syntactic and semantic heterogeneity of errors; and (2) a data augmentation model that, given a small seed of clean records, uses dataset-specific transformations to automatically generate additional training data. Our key insight is to learn data augmentation policies from the noisy input dataset in a weakly supervised manner. We show that our framework detects errors with an average precision of ~94% and an average recall of ~93% across a diverse array of datasets that exhibit different types and amounts of errors. We compare our approach to a comprehensive collection of error detection methods, ranging from traditional rule-based methods to ensemble-based and active learning approaches. We show that data augmentation yields an average improvement of 20 F1 points while it requires access to 3 fewer labeled examples compared to other ML approaches. [ACM SIGMOD 2019 doi:10.1145/3299869.3319888].","Heidari, A.; McGrath, J.; Ilyas, I.F.; Rekatsinas, T.",PO,YES,,(1) Constraint Violations (2) HoloClean (3) Outlier Detection (4) Forbidden Item Sets (5) Simple logistic regression,(1) Hospital (2) Food (3) Soccer (4) Adult (5) Animal. The last 3 datasets had the ground truth.,"not mentioned, seems to be any error on string values",-,2 layer NN to detect errors,"Performance, Recall and F1 score of error detection","Slower than compared approaches, but same order of magnitude",,YES,PNUGTE37,-,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,0.0,2.0,-,
